geo country;vehicle age;number of registered vehicles
Austria;1;222231
Austria;2;235790
Austria;3;316256
Austria;4;331834
Austria;5;350498
Austria;6;328360
Austria;7;301776
Austria;8;284931
Austria;9;286529
Austria;10;292670
Austria;11;292654
Austria;12;250892
Austria;13;233536
Austria;14;200738
Austria;15;182906
Austria;16;160080
Austria;17;137285
Austria;18;118391
Austria;19;98406
Austria;20;75159
Austria;21;62305
Austria;22;52686
Austria;23;41871
Austria;24;29591
Austria;25;29591
Austria;26;29591
Austria;27;29591
Austria;28;29591
Austria;29;29591
Austria;30;29591
Austria;31;29591
Austria;32;29591
Austria;33;9733
Austria;34;0
Austria;35;0
Austria;36;0
Austria;37;0
Austria;38;0
Austria;39;0
Austria;40;0
Austria;41;0
Austria;42;0
Austria;43;0
Austria;44;0
Austria;45;0
Austria;46;0
Austria;47;0
Austria;48;0
Austria;49;0
Austria;50;0
Austria;51;0
Austria;52;0
Austria;53;0
Austria;54;0
Austria;55;0
Austria;56;0
Austria;57;0
Austria;58;0
Austria;59;0
Austria;60;0
Austria;61;0
Austria;62;0
Austria;63;0
Austria;64;0
Austria;65;0
Austria;66;0
Austria;67;0
Austria;68;0
Austria;69;0
Austria;70;0
Austria;71;0
Austria;72;0
Austria;73;0
Austria;74;0
Austria;75;0
Austria;76;0
Austria;77;0
Austria;78;0
Austria;79;0
Austria;80;0
Austria;81;0
Austria;82;0
Austria;83;0
Austria;84;0
Austria;85;0
Austria;86;0
Austria;87;0
Austria;88;0
Austria;89;0
Austria;90;0
Austria;91;0
Austria;92;0
Austria;93;0
Austria;94;0
Austria;95;0
Austria;96;0
Austria;97;0
Austria;98;0
Austria;99;0
Austria;100;0
Austria;101;0
Austria;102;0
Austria;103;0
Austria;104;0
Austria;105;0
Austria;106;0
Austria;107;0
Austria;108;0
Austria;109;0
Austria;110;0
Austria;111;0
Austria;112;0
Austria;113;0
Austria;114;0
Austria;115;0
Austria;116;0
Austria;117;0
Austria;118;0
Austria;119;0
Austria;120;0
Austria;121;0
Belgium;1;371755
Belgium;2;410607
Belgium;3;507791
Belgium;4;494432
Belgium;5;449744
Belgium;6;402609
Belgium;7;341255
Belgium;8;310960
Belgium;9;292248
Belgium;10;273134
Belgium;11;302405
Belgium;12;253932
Belgium;13;199589
Belgium;14;182576
Belgium;15;158949
Belgium;16;140685
Belgium;17;106909
Belgium;18;92219
Belgium;19;68386
Belgium;20;55479
Belgium;21;42083
Belgium;22;37045
Belgium;23;27573
Belgium;24;19492
Belgium;25;13236
Belgium;26;10080
Belgium;27;7157
Belgium;28;6778
Belgium;29;6245
Belgium;30;11466
Belgium;31;12245
Belgium;32;12055
Belgium;33;9836
Belgium;34;8863
Belgium;35;8160
Belgium;36;8494
Belgium;37;6829
Belgium;38;6214
Belgium;39;6252
Belgium;40;5818
Belgium;41;5226
Belgium;42;5634
Belgium;43;6668
Belgium;44;6571
Belgium;45;6217
Belgium;46;6028
Belgium;47;5429
Belgium;48;6252
Belgium;49;7609
Belgium;50;7455
Belgium;51;6386
Belgium;52;6174
Belgium;53;6359
Belgium;54;6238
Belgium;55;6362
Belgium;56;6139
Belgium;57;6074
Belgium;58;5142
Belgium;59;4608
Belgium;60;4384
Belgium;61;4444
Belgium;62;4493
Belgium;63;3932
Belgium;64;3611
Belgium;65;3344
Belgium;66;3182
Belgium;67;3206
Belgium;68;2770
Belgium;69;2372
Belgium;70;2792
Belgium;71;2064
Belgium;72;1987
Belgium;73;1781
Belgium;74;1805
Belgium;75;1327
Belgium;76;339
Belgium;77;171
Belgium;78;595
Belgium;79;447
Belgium;80;436
Belgium;81;88
Belgium;82;148
Belgium;83;343
Belgium;84;337
Belgium;85;326
Belgium;86;250
Belgium;87;175
Belgium;88;237
Belgium;89;177
Belgium;90;186
Belgium;91;174
Belgium;92;259
Belgium;93;263
Belgium;94;183
Belgium;95;103
Belgium;96;69
Belgium;97;90
Belgium;98;90
Belgium;99;66
Belgium;100;59
Belgium;101;20
Belgium;102;18
Belgium;103;13
Belgium;104;7
Belgium;105;3
Belgium;106;3
Belgium;107;10
Belgium;108;10
Belgium;109;19
Belgium;110;17
Belgium;111;15
Belgium;112;11
Belgium;113;6
Belgium;114;7
Belgium;115;8
Belgium;116;8
Belgium;117;1
Belgium;118;12
Belgium;119;4
Belgium;120;11
Belgium;121;2
Bulgaria;1;26507
Bulgaria;2;26507
Bulgaria;3;26507
Bulgaria;4;26507
Bulgaria;5;26507
Bulgaria;6;39242
Bulgaria;7;39242
Bulgaria;8;39242
Bulgaria;9;39242
Bulgaria;10;39242
Bulgaria;11;73196
Bulgaria;12;73196
Bulgaria;13;73196
Bulgaria;14;73196
Bulgaria;15;73196
Bulgaria;16;147586
Bulgaria;17;147586
Bulgaria;18;147586
Bulgaria;19;147586
Bulgaria;20;147586
Bulgaria;21;147586
Bulgaria;22;147586
Bulgaria;23;147586
Bulgaria;24;147586
Bulgaria;25;147586
Bulgaria;26;147586
Bulgaria;27;147586
Bulgaria;28;147586
Bulgaria;29;147586
Bulgaria;30;69659
Bulgaria;31;0
Bulgaria;32;0
Bulgaria;33;0
Bulgaria;34;0
Bulgaria;35;0
Bulgaria;36;0
Bulgaria;37;0
Bulgaria;38;0
Bulgaria;39;0
Bulgaria;40;0
Bulgaria;41;0
Bulgaria;42;0
Bulgaria;43;0
Bulgaria;44;0
Bulgaria;45;0
Bulgaria;46;0
Bulgaria;47;0
Bulgaria;48;0
Bulgaria;49;0
Bulgaria;50;0
Bulgaria;51;0
Bulgaria;52;0
Bulgaria;53;0
Bulgaria;54;0
Bulgaria;55;0
Bulgaria;56;0
Bulgaria;57;0
Bulgaria;58;0
Bulgaria;59;0
Bulgaria;60;0
Bulgaria;61;0
Bulgaria;62;0
Bulgaria;63;0
Bulgaria;64;0
Bulgaria;65;0
Bulgaria;66;0
Bulgaria;67;0
Bulgaria;68;0
Bulgaria;69;0
Bulgaria;70;0
Bulgaria;71;0
Bulgaria;72;0
Bulgaria;73;0
Bulgaria;74;0
Bulgaria;75;0
Bulgaria;76;0
Bulgaria;77;0
Bulgaria;78;0
Bulgaria;79;0
Bulgaria;80;0
Bulgaria;81;0
Bulgaria;82;0
Bulgaria;83;0
Bulgaria;84;0
Bulgaria;85;0
Bulgaria;86;0
Bulgaria;87;0
Bulgaria;88;0
Bulgaria;89;0
Bulgaria;90;0
Bulgaria;91;0
Bulgaria;92;0
Bulgaria;93;0
Bulgaria;94;0
Bulgaria;95;0
Bulgaria;96;0
Bulgaria;97;0
Bulgaria;98;0
Bulgaria;99;0
Bulgaria;100;0
Bulgaria;101;0
Bulgaria;102;0
Bulgaria;103;0
Bulgaria;104;0
Bulgaria;105;0
Bulgaria;106;0
Bulgaria;107;0
Bulgaria;108;0
Bulgaria;109;0
Bulgaria;110;0
Bulgaria;111;0
Bulgaria;112;0
Bulgaria;113;0
Bulgaria;114;0
Bulgaria;115;0
Bulgaria;116;0
